Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2024,Kalimantan Selatan,98.68,78.14,60.26,13399.0,8.62
2024,Kalimantan Tengah,98.35,80.49,58.05,12303.0,8.81
2024,Kalimantan Timur,98.59,83.7,72.37,13793.0,10.02
2024,Kalimantan Utara,95.18,81.61,67.9,10197.0,9.35
2024,Kepulauan Bangka Belitung,98.29,77.59,61.71,13667.0,8.33
2024,Kepulauan Riau,98.71,87.1,77.54,15573.0,10.5
2024,Lampung,98.33,81.4,64.54,11258.0,8.36
2024,Maluku,97.27,79.72,69.61,9684.0,10.26
2024,Maluku Utara,96.41,79.34,68.02,9320.0,9.37
2024,Nusa Tenggara Barat,98.57,83.55,71.09,11606.0,7.87
2024,Nusa Tenggara Timur,97.01,73.72,60.73,8534.0,8.02
2024,Papua,92.52,75.41,61.33,11037.0,9.82
2024,Papua Barat,95.15,72.1,61.18,8805.0,7.86
2024,Papua Barat Daya,95.39,72.31,68.52,8733.0,8.39
2024,Papua Pegunungan,75.4,58.83,45.6,5707.0,4.21
2024,Papua Selatan,85.86,52.03,44.79,9756.0,8.38
2024,Papua Tengah,69.03,57.49,36.84,7809.0,6.12
2024,Riau,98.45,81.14,68.04,11857.0,9.43
2024,Sulawesi Barat,96.82,71.77,62.1,10208.0,8.15
2024,Sulawesi Selatan,97.81,76.84,62.71,12275.0,8.86
2024,Sulawesi Tengah,94.84,77.55,65.62,10536.0,9.04
2024,Sulawesi Tenggara,97.33,77.12,66.66,10606.0,9.42
2024,Sulawesi Utara,95.87,77.27,65.47,11998.0,9.84
2024,Sumatera Barat,98.89,82.94,72.5,11718.0,9.44
2024,Sumatera Selatan,97.53,77.58,62.7,12015.0,8.57
2024,Sumatera Utara,97.68,82.15,69.72,11460.0,9.93
